entry_date,exit_date,entry_price,exit_price,shares,pnl
2019-02-22,2019-03-22,14.9,15.07,91799.73,15650.83
2019-03-28,2019-06-04,15.97,14.9,86653.47,-92375.36
2019-06-10,2019-06-13,15.08,15.64,85621.3,48336.21
2019-06-20,2019-06-21,16.81,17.24,79695.38,34766.03
2019-06-26,2019-07-11,17.18,18.34,79973.07,92347.13
2019-07-12,2019-07-18,18.34,18.59,79973.06,19837.02
2019-07-24,2019-07-25,19.59,19.42,75887.11,-12981.89
2019-07-26,2019-08-07,19.24,20.49,76595.71,95653.59
2019-08-12,2019-08-15,20.95,20.72,74906.79,-17299.24
2019-08-19,2019-08-21,20.46,21.05,75846.27,44764.42
2019-08-22,2019-08-23,21.09,21.85,75692.49,56974.44
2019-08-30,2019-12-04,21.77,19.67,75957.7,-159632.16
2019-12-05,2019-12-12,19.32,20.2,77309.26,67784.91
2019-12-13,2019-12-19,19.72,20.23,79196.49,40165.96
2019-12-20,2019-12-27,19.86,20.66,80670.7,65183.92
2019-12-30,2019-12-31,20.66,21.02,80670.69,28431.17
2020-01-02,2020-01-27,20.91,21.57,81101.88,53680.94
2020-01-28,2020-02-14,20.92,21.62,83600.9,58209.15
2020-02-21,2020-02-24,24.46,25.58,73903.76,83221.59
2020-02-26,2020-04-07,24.0,24.74,78774.2,58594.2
2020-04-08,2020-04-13,24.42,27.12,79831.59,216194.98
2020-04-20,2020-04-21,29.56,29.57,73262.44,631.37
2020-04-22,2020-04-23,31.2,32.59,69434.22,97013.06
2020-04-28,2020-05-05,31.9,32.99,70935.9,77086.24
2020-05-07,2020-06-23,32.78,30.27,71383.81,-179621.04
2020-07-03,2020-07-08,31.02,32.26,69651.97,86154.3
2020-07-13,2020-07-21,32.17,33.62,69839.24,101489.42
2020-07-22,2020-07-23,33.28,33.12,70547.09,-11593.94
2020-07-24,2020-07-28,32.72,34.17,71404.92,103146.25
2020-07-29,2020-09-10,34.48,35.13,70760.02,46136.77
2020-09-11,2020-11-06,34.62,33.62,71806.08,-71628.88
2020-11-09,2021-01-05,30.65,27.73,78777.34,-229348.33
2021-01-06,2021-03-18,26.72,22.68,81781.56,-330419.99
2021-03-19,2021-04-07,22.92,22.96,80907.55,3539.02
2021-04-08,2021-04-09,23.1,23.03,80447.87,-4926.47
2021-04-12,2021-04-16,23.19,24.5,79901.62,104850.44
2021-04-20,2021-04-21,24.15,24.87,81088.59,58878.89
2021-04-23,2021-05-07,24.66,25.55,81778.95,72972.93
2021-05-11,2021-05-17,24.85,25.68,84081.79,69144.11
2021-05-19,2021-07-16,26.29,23.49,82123.16,-229786.28
2021-07-19,2021-07-30,23.2,23.9,83154.77,58012.55
2021-08-05,2021-10-15,23.92,21.04,83062.69,-239101.1
2021-10-18,2021-10-26,21.04,21.47,83062.71,35612.95
2021-10-27,2021-11-08,21.49,22.0,82993.64,42255.61
2021-11-09,2021-11-10,21.66,22.38,84294.17,60988.37
2021-11-17,2021-11-18,23.34,23.56,80842.4,18053.23
2021-11-19,2021-12-31,22.97,21.79,82916.91,-98250.2
2022-01-05,2022-01-20,21.76,22.79,83020.28,85568.23
2022-01-21,2022-02-14,22.66,23.88,83517.21,101936.54
2022-02-16,2022-02-17,24.28,25.95,82148.58,137401.62
2022-02-23,2022-03-02,26.09,26.47,81693.15,31007.29
2022-03-03,2022-03-04,26.58,27.48,81358.21,73145.28
2022-03-10,2022-04-08,28.52,28.56,78379.48,2847.0
2022-04-14,2022-08-15,29.07,19.26,77008.27,-755307.18
2022-08-18,2022-10-03,19.49,19.96,76102.72,35834.29
2022-10-06,2022-10-07,20.12,20.32,75505.41,15429.63
2022-10-11,2022-11-11,19.57,20.32,78408.09,58992.8
